x abs_error rel_error
4.125e-2 6.641092673119478296837348912043691984589465620832769087360351548088834276e-22 1.61041852592501373735168191628800241636195380245024116214622875644902146e-20
4.1875e-2 6.967266123483309753615854524301373757332955247280200164601038805386668025e-22 1.664311102516661859611644003578013462860645070386690208536280730920136412e-20
4.25e-2 7.306786507207515237194412973776644269278894939764572996057645627540286874e-22 1.719761557179703361148162312882764302719693304633126810228563557064349859e-20
4.3125e-2 7.660397802073657481081524376821652286223992152565873279944557304878846357e-22 1.77687483859574671216690381984918360473196646557651343713754296983986803e-20
4.375e-2 8.028919922814755218622785387751501620860611476127142478821065369526774383e-22 1.8357672694809528506859940068616581703793311617749455114690460076075306e-20
4.4375e-2 8.413256887962261269256590699033636732968432692346129798289487627425635887e-22 1.896567587622618621029309955671275920050007191732080267249806101388458886e-20
4.5e-2 8.81440572831241880643487996326926598940311204440998837307695057621345531e-22 1.95941806515710036457100213055060591357882813706390873873471337371333456e-20
4.5625e-2 9.23346619230821234613176136694470129930159943200580296451410957225270223e-22 2.024475710726059119512374019476551091963687902430859522901155832542849279e-20
4.625e-2 9.67165130688369371855281474179594791476990717991018348406340348118352928e-22 2.091913559351290692485204191291446021891969922950478657039185144779271096e-20
4.6875e-2 1.013029885570928845249209510225984522164493355705782204441192552864843422e-21 2.161922055077554704266683278226217703829125784205627474298820335900463515e-20
4.75e-2 1.061088384031380916943840016134110469102481368609110490456662326698974897e-21 2.234710531647920994445543891119613372843946494220328511075185897473933498e-20
4.8125e-2 1.111503199324541109734407298019821429102225090469154592728250689345476491e-21 2.31050879669729395427259273632311974436301428731336355559207627875051021e-20
4.875e-2 1.164453441627376880133790436060971144522698258104206536834372311788329926e-21 2.389568825177039951826081696467461087514909540735661354809740995729575172e-20
4.9375e-2 1.220136342063353760343021744596633192886814837319226296198449142469512958e-21 2.472166567957114578274158065101422057202626342199252132695800563864549703e-20
5e-2 1.278768965046894962006427142196098551920777533371859508693220291032334823e-21 2.558603881791849588959163102309743054941509381401811969719935419055668859e-20
5.0625e-2 1.340590057496550135998997356873844304944224767496136765381196536094465563e-21 2.64921058708169880078210222857193086327842850072550604742304124864456302e-20
5.125e-2 1.405862043915149264859784562298033230938778861399214730845750843074991655e-21 2.744346660115842553134044383577990277881754957263370613819636357176472547e-20
5.1875e-2 1.474873176802410730851651968222758597250550169515258626027244582148803811e-21 2.84440456673969641199176864124167934837097484041098918112027697325453147e-20
5.25e-2 1.547939852350627333491670910755420853122440941455530152724494311672370454e-21 2.949811744657146418438573580485595842957729346774313090348073912497682224e-20
5.3125e-2 1.625409101877624983580384021455234888391535449288684855340557714481299503e-21 3.061033241849825231243089011821215434940611439796838722775230620620567097e-20
5.375e-2 1.707661269973636211232421448726514589053856984003565899087339760190671955e-21 3.178574518875035921170012961126568032881252788158787772852692139804924407e-20
5.4375e-2 1.795112890880520405114042365219968417259271083452616966192277900055909734e-21 3.302984423090107931534931674540293938310954443199781765987760861319644435e-20
5.5e-2 1.88821977518336643774963693526352924075127920353150370971751273621850569e-21 3.43485834314411787116799588452823003146203128214853976016865205970963079e-20
5.5625e-2 1.987480319476408292695499321030850526737924427729250729928128311308832362e-21 3.57484155237811145602723066720123892604066626111785454768806043689653697e-20
5.625e-2 2.093439052267853435337147167513154254986703305225125888120061597886725292e-21 3.723632750082307226105449312215062289034634135990479524011338713790314814e-20
5.6875e-2 2.206690430012155578014787412874468131329478313650645441688547443555945624e-21 3.881987809873332855907206890429939179799661801643615136068844712258249564e-20
5.75e-2 2.327882897803952476124809019321870579646434597476993133821739794331814967e-21 4.050723744776426230238305729455705145660633235639682451785944961858613542e-20
5.8125e-2 2.457723229935835424630860226225825718070364848137801399074980657299590922e-21 4.23072289892681131336110945150379325749659303060470656239662486640380894e-20
5.875e-2 2.59698116621282584954112351173114381071876401289772342927161518512135348e-21 4.42293737614121860084706477979717996311561107654353590380564955294233111e-20
5.9375e-2 2.746494360630417127313842570144251005413627915417146983062457593610024318e-21 4.6283937159548470736432307580706552396058887937871451063021343181887822e-20
6e-2 2.907173659760813513036279129751038478271023496838055288107522165135847022e-21 4.848197828071044599425224681388747787383242872216728991476222563898118918e-20
6.0625e-2 3.080008728954085486826718478127476483911279644850692441785214217479213274e-21 5.08354019653070223692732944537350125319981680485980423358733733839648071e-20
6.125e-2 3.26607404524789028332270607920159875522917222036032740239399728958091259e-21 5.335701365275900548250641105673333878631494071001711475732699827298701385e-20
6.1875e-2 3.46653527669171187206697324526230647100273731507720857634373832135883702e-21 5.60605771715779853042521199439755185588364834412448936398117327009403781e-20
6.25e-2 3.682656068629795902240269852799363817699995772023511850606922314998183265e-21 5.89608755882220392436742206648147262764973726076630194466032648136966316e-20
